texto,cluster
meu nome a c ana sigo aqui para o que precisar,8
sua camisa e linda,1
trico,1
qual calça combina com camisa de viscose em bege?,1
"prazo pro meu cep 050010-020, chega até 3 dias úteis?",12
dica de look para formatura com saia plissada verde,8
faco,10
valor do frete prro 06030-050?,12
pergunta a camisa de responsa e oversized ou normal resposta tamanho e medidas,3
quero blazer bege 44,4
"sou 36, às vezes ppego 42; o vestido midi segue a tabela certinha?",4
ja vi e amei esperando a virada do cartao pra perder os juazo,8
dica de look parra casamento de dia com blazer linho azul marinho,8
como posso fazer essa apresentacao,8
qual jaqueta combina com calça alfaiataria em vermelho?,1
"não serviu, consigo trrocar?",2
"veio com defeito, como faço a devollução?",2
"perfeito, oobrigada!",0
muito obrigada pela atena a o,0
tem telefone/wwhatsapp de alguém?,5
cadê o rastreamento do #2676?,6
obrigada pelo prestagio foi incravel te ter de pertinho hojed d,0
seguem as medidas p cos <num> cm e veste quadril ate <num> cm m cos <num> cm e veste um quadril ate <num> cm g cos <num> cm e veste um quadril ate <num> cm,3
descomplicado,10
posso passar linho? precisa cuidado especial?,2
valor doo frete pro 06030-050?,12
mas acho que esta aprocessandoa para subir tudo,8
oii comprei a bico fino o dedo fica um pouquinho de lado pra fora ne mas super confortavel,8
"quero um look romântico para casamento de dia, uso GG",9
"quero um look casual para casamento de dia, uso 40",9
oi fatima tudo bem bom dia obrigada pela sua mensagem e feedback e muito importante para nos estamos conversando por whatsapp podemos continuar nossa comunicacao por la,0
cadê o rastreamento do #3096?,6
reagiu com dd a sua mensagem,8
tem jaqueta verde tamanho P?,7
posso passar linho? preecisa cuidado especial?,2
em,10
consigo falar com attendente?,2
ola sandra boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar sandra qualquer duvida estamos a disposicao equipe curadobia,5
tem camisa verde tamanho G?,7
tem saia verde tamanho 36?,7
curtiu uma mensagem,8
ola sou o gerente de vendas da pg game platform quero falar com vocaa sobre parcerias nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curaa ao em outubro vocaa pode se juntar a na <num> s e lhe daremos altas comissaues entre em contato comigo pelo whatsapp <num>,5
aqui o link com todos os acessa <num> rios,8
pergunta a saia acinturante e slow fashion resposta extras e institucional,2
"meu pedido #6820 não atualiza, pode ver?",6
ta a <num> timo obrigada,0
estamos estudando trazer essa categoria para o curadobia porem nada de imediato ainda mas muito legal saber do interesse assim que tivermos iremos te manter avisada,5
vocaa a c linda e de uma delicadeza admira vel,8
brinca,10
algua c m poderia entrar em contato comigo por e mail ou whatsapp o site de vcs parece que esta com problemas na o funciona direito na o,5
pergunta o tecido da camisa viajante esquenta resposta modelagem e tecido,1
tem camisa preto no P?,11
basica,10
que aa conseguimos encaminhar pro la as tratativas o que acha se puder esclarecer que seria algo mais voltado para o perfil pessoal da bia ou para o curadobia seria bacana entendermos tamba c m para encaminhar de forma mais assertiva sua mensagem,5
tem saia bege tamanho 38?,4
quero jaqueta verde 42,13
possoo pagar no pix/boleto? parcela?,2
quero camisa preto PP,1
essa modelagem é maais enxuta? o saia plissada veste grande?,1
e a blusa,1
seguimos a disposia a o para o que precisar,5
vou,10
sem problemas mari apenas encaminha pra gente um e mail solicitando que iremos dar sequencia com a troca e mail contato curadobia <user> com,5
para adquirir essa pea a basta clicar no link da jaqueta e finalizar a compra pelo site <url>,5
obrigada por ser nossa cliente,0
tem vestido preto tamanho 46?,11
jogo,10
deixa eu tirar outra daovida vc faz consultoria de imagem estilo tb se sim como funciona,8
expressoes,10
quero camisa azul marinnho G,1
mas ficou grande,3
tem body vermelho no P?,3
pode me chamar novamente por favor,0
que tamanho costuma usar,3
"tenho 116cm de busto e 100cm de quadril, qual tamanho do calça alfaiataria vc indica?",3
"prazo pro meu cep 01255-022, chega até amanhã?",12
este a c meu whatsappa,8
tem saia plissada vermelho 44?,4
"prazo proo meu cep 01455-022, chega até sexta?",12
"sou P, às vezes pego M; o calça alfaiataria segue a tabela certinha?",3
ola vcs tem uma tabela de medidas para essa calca amei e gostaria de escolher o tamanho certo visto <num> e tenho <num> <num> de quadril entao nao tenho certeza do p ou m poderiam me ajudar no aguardo grata adriana baggio,3
graca,10
como estaria sua agenda para segunda a tarde,8
tem blazer verde tamanho PP?,7
oii karinne tudo bem aqui quem fala a c a ana do time curadobia vocaa acredita que estive olhando todos os dias desde que vocaa demonstrou interesse se a nossa saia anica voltaria ao estoque e somente hoje isso aconteceu ela a c a queridinha das nossas clientes e tem acabado ra pido enta o espero que consiga aproveitar essa oportunidade te encaminho o link para o acesso dela,5
body mybasic,3
ata c segunda,8
pq,10
<num> <num> m,10
coat,10
ser,10
cadê o rastreamento do #8598?,6
tem liink? como compro?,5
"prazo pro meu cep 05010-020, chega até essa semana?",12
pergunta quanto tempo pra entregar a blusa molona em sp resposta frete prazos e trocas,2
tem camisa verde no P?,7
procuro blazer linho em bege,8
quero body preto 36,4
tem vestido preto no GG?,11
tem vestido preto no G?,11
quero blazer off-white 38,4
saia,10
cadê o rastreamento do #9275?,6
uhuu,10
ola pessoal como va o meu nome a c ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia a c um marketplace que nasceu com o propa <num> sito de reunir em um sa <num> lugar pea as que fazem toda a diferena a no arma rio e ao mesmo tempo sa o fa ceis de usar os chamados neutros com tcharanz acreditamos que a marca de vocaas pode se conectar com essa proposta com quem poderia conversar para falar mais sobre aguardo vocaas,5
"tenho 92cm de busto e 100cm de quadril, qual tamanho do camisa de viscose vc indica?",3
quero vestido verde PP,13
entregaria,10
ola amanda obrigada pelo contato e pedimos desculpas pela falha ja estamos verificando o que houve para que consiga finalizar sua compra,5
dica de llook para trabalho com blazer linho bege,8
obrigada enviarei,0
tem camisa preto tamanho 38?,11
tem telefone/whatsapp de alguém?,5
mas tmb lancarei um aprograma online de estilo pessoala que podera ser baixado por aqui tmb,5
"quero um look casual para aniversário, uso M",9
tudo bem tamba c m que pena d eu queria exatamente o verde d c,13
"prazo pro meu cepp 05010-020, chega até essa semana?",12
vcs tem desconto para primeira compra,5
por onde posso acompanhar o envio da minha compra,5
tem body verde no P?,7
consigo falar com atendentte?,2
"prazo pro meu cep 01255-022, chega atté amanhã?",12
pergunta com que sapato usar a bolsa anda sozinha resposta combinacoes e ocasioes,3
valor do frete pro 01255-022?,12
tem camisa preto no 38?,11
eu,10
o tom certo a c o que esta no site os stories que a bia postou hoje modificaram um pouco o tom,8
erros,10
quero camisa preto M,1
tem vestido preto no 44?,11
essa modelagem é mais enxuta? o saia plissada veste grande?,1
bem,10
uso GG na parte de cima; o camisa de viscose serviria?,1
"sou 46, às vezes pego G; o calça alfaiaataria segue a tabela certinha?",4
tem jaqueta verde tamanho GG?,7
tem loja física/enddereço?,5
que saia posso usar com blazer linho? quero algo moderno,1
tem tabela de medidas do camisa de viscose?,1
"prazo pro meu cep 05010-020, chega até sexxta?",12
a jaqueta branca uma pena eu na o conseguir comprar por problemas ta c cnicos uma experiaancia de consumidor mto ruim,2
"perfeito, obrrigada!",0
tem saia verde no 46?,7
evelyn obrigada pelo interesse para parcerias com o curadobia pea o que envie apresentaa aues para o nosso email contato curadobia <user> com e seguimos com as tratativas por la que fica mais fa cil d e para interesses de parcerias diretamente com a bia a c preciso entrar em contato diretamente com ela pelo email biapaesdebarros <user> com,5
arrumadinhas,10
ja vi e amei esperando a virada do cartao pra perder os juizo,8
ola sandra boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar sandra qualquer daovida estamos a disposia a o equipe curadobia d,5
que saia posso usar com camisa de viscose? quero algo minimalista,1
praticamos sempre o mesmo valor das marcas o que entrara de extra sera o valor do frete que e calculado automaticamente se tiver mais alguma duvida nos avise ok,5
tem link? commo compro?,5
quero body verde M,13
ficou enorme,3
mas venho com boas noticias a partir de quarta feira teremos reposicao dela se voce ainda tiver interesse me avisa pois ai assim que chegarem eu venho exclusivamente te avisaar,8
tem saia plisssada caramelo 40?,8
ta otimo obrigada,0
dica de look para casamento de dia com saia plissada caramelo,8
campo,10
gosto da calca assim mais curta visto entre <num> <num> quadril <num>,3
dd,10
"prazo pro meu cep 01455-022, chega até 3 dias úteis?",12
"meu pedido #1145 não atualiza, pode ver?",6
"prazo pro meu cep 01255-022, chega até sexta?",12
"quero um look romântico para aniiversário, uso 38",9
"veio com defeito, como faço a devoolução?",2
os bodys da revival sao excelentes pecas neutras e basicas para ter no armario e possuem uma ampla grade de tamanhos <url> alem disso temos nossos acessorios <url> bolsas <url> e sapatos <url>,5
quero vestido verde 42,13
muito obrigada pelos esclarecimentos,0
ola tudo bem estou apaixonada por essa jaqueta bacanuda da foto o preco de <num> pula pra setecentos e tanto na hora de comprar e isso mesmo entra um valor de comissao na hora da compra,1
obrigada pelo retorno vou acompanhar entao beijo beijo,0
tem blazer preto no P?,8
tem blazer preto no 38?,4
bia td bom na o estou conseguindo finalizar a compra da aregata podrinhaa coloquei os dados do carta o e no campo cvv eu ponho os naomeros mas o sistema ignora que eu coloquei tentei va rias vezes acho que esta com problemaa,2
parecem,10
ola td bem fiz uma compra com vc e recebi apenas o tricot vc pode me ajudar muito obrigada desde ja,8
informacoes,10
"sou G, às vezes pego PP; o camisa de viscose segue a tabela certinha?",3
quero blazer verde 38,13
quando ela estiver disponavel na <num> s vamos te avisar,8
longa,10
ainda nao super correria,2
preco,10
"meu pedido #8406 não atualiza, pode ver?",6
qualquer,10
tem camisa preto tamanho PP?,11
ai me ajuda com o vadeo a ainda na o usei a blusa,1
cadê o rastreamento do #2480?,6
"não serviu, consigo ttrocar?",2
é algodão? encolhe? como lavar?,2
"tenho 92cm de busto e 124cm de quadril, qual tamanho do vestido midi vc indica?",3
faz em 3x sem juroos?,2
ola dany boa tarde tudo bem sim e com vocaa pea o desculpas por essa demora estou verificando sobre porque ainda na o foi dada sequaancia na troca o processo interno nosso ja foi encaminhado com a troca para o tamanho p,2
ainda tem vestido midi em 38?,4
sobre a troca da calca que comprei quero trocar por um tamanho menor recebi um e mail de vcs no dia <num> <num> <num> respondi mas dps disso nao tive mais retorno,2
cai,10
te,10
posso ppassar malha canelada? precisa cuidado especial?,2
d body mybasic,3
carrinho nãão abre no celular,5
me indica um vestido vermelho tamanho 44?,1
cadê o rastreamento do #7704?,6
mas amei a sugestao ju,0
é linho? encollhe? como lavar?,2
quero body preto 38,4
"prazo pro meu cep 06030-050, chega até sexta?",12
alma,10
gostei do conjunto mas na o vi no site,8
tem camisa preto tamanho 44?,11
verificamos com a marca responsa vel pelo envio a revival o seu pedido sofreu um pequeno atraso que a marca me informou ter lhe comunicado por whatsapp,5
essa modelagem é mais enxuta? o body canelado veste grande?,3
paggamento recusado toda hora,2
perfeito ana obrigada pelo retorno,0
procuro vestido midi em preto,11
infelizmente nao atuo mais nessa area de consultoria pessoal,2
compra realizada,10
tem link? como compro?,5
porem na duvida do melhor tamanho,3
quero jaqueta preto G,1
mas paguei por uma coisa que nao recebi,2
pea o desculpa pela demora em lhe retornar,2
jeito,10
"prazo pro meu ceep 04567-010, chega até sexta?",12
"quero um look casual para formatura, uso GG",9
"veio com defeito, como faço a deevolução?",2
"muito obrigada, ajudou",0
cpf,10
cadê o rastreamento do #6257?,6
procuro calça alfaaiataria em vermelho,1
"meu pedido #9148 não atualiza, pode ver?",6
que calça posso usar com camisa de viscose? quero algo moderno,1
tem blazer verde no PP?,7
pano,10
anelisa acabamos de confirmar seu pedido com a marca tudo certo ele ja esta para a producao,5
certo qual o link da compra,5
"meu pedido #2324 não atualiza, pode ver?",6
sim a carol entrou em contato comigo uma fofa super atenciosa,8
agora estou organizando as coisas,8
com certeza sera um sucesso obrigada ana d,0
tem camisa preto tamanho P?,11
"quero um look casual para trabalho, uso M",9
"quero um look casual para jantar, uso 42",9
comprei a jaqueta,1
tem saia preto tamanho 40?,11
oii comprei a bico fino o dedo fica um pouquinho de lado pra fora na c mas super conforta vel,8
valor do frete pro 01455-022?,12
estaremos atualizando no site para conter essa tabela que realmente estava faltando,5
comprei,10
"quero um look casual para trabalho, uso PP",9
tem jaqueta preto no G?,1
diversos,10
este e meu whatsapp,5
tem saia preto no 46?,4
comprei um body e paguei frete de <num> dias uteis pra levar pra uma viagem agora na sexta,2
obrigada ana,0
tem body preto tamanho 46?,11
que aa conseguimos encaminhar pro la as tratativas o que acha se puder esclarecer que seria algo mais voltado para o perfil pessoal da bia ou para o curadobia seria bacana entendermos tamba c m para encaminhar de forrma mais assertiva sua mensaagem,5
tem blazer preto tamanho 38?,11
volume,10
na o estou conseguindo entrar no site para fazer compra,5
cadê o rastreamento do #7609?,6
tem camisa preto no 44?,11
code,10
seguem as medidas p ca <num> s <num> cm e veste quadril ata c <num> cm m ca <num> s <num> cm e veste um quadril ata c <num> cm g ca <num> s <num> cm e veste um quadril ata c <num> cm,3
"prazo pro meu cep 06030-050, chega até amanhã?",12
parece que o contato por aqui nao e satisfatorio,2
me indica um jaaqueta off-white tamanho PP?,3
procuro blazer linho em caramelo,8
perfeito gloria ja colocamos aqui na nossa lista e vamos te informar quando estiver mais proximo da data,8
posso passar malha canelada? precisaa cuidado especial?,2
ainda tem saia plissada em P?,8
quero camisa preto 38,1
deixa la,10
tem link? como commpro?,8
pagamento recusadoo toda hora,2
vou querer a <num> qual e sua chave pix,5
a calca ficou sobrando muito atras,2
"sou 40, às vezes pego 42; o calça alfaiataria segue a tabela certinha?",4
tem blazer verde tamanho 42?,7
quero camisa verde 46,13
sobre a troca da cala a que comprei quero trocar por um tamanho menor recebi um e mail de vcs no dia <num> <num> <num> respondi mas dps disso na o tive mais retorno,2
na torcida,10
a i,10
claro pode trocar super,8
nao temos cupom de desconto no momento,2
sensacao,10
duvida,10
todas as pea as da mybasic e da loounge <num> possuem uma ampla grade <url> <url> os produtos da cecilia possuem uma modelagem mais ampla <url> alguns dos produtos da nauanin chegam ata c a numerraa a o xxgg equivalendo a um <num> <url>,3
oi talita muito bom receber sua mensagem agradecemos demais o contato e que bacana vocaas terem pensado na gente pora c m nesse momento na <num> s na o estamos trabalhando com produa a o de qualquer forma salvamos o teu contato para futuras oportunidades atenciosamente equipe curadobiad,5
"tenho 110cm de busto e 124cm de quadril, qual tamanho do saia plissada vc indica?",3
quero blazer verde P,13
ahhh entendi muito obrigada,0
comprei a jaqueta d>>,1
oi roberta bom dia tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd o link clica vel segue na pra <num> xima mensagem obrigada por nos acompanhar roberta qualquer daovida estamos a disposia a o equipe curadobia d,5
ola bom dia tudo bem obrigada pela mensagem conferimos aqui e aparentou estar tudo certo aproveito para mandar o link por aqui,0
ola amanda bom dia pea o desculpas pela demora mas o nosso pessoa ta c cnico ainda na o conseguiu simular um erro igual ao que ocorreu com voce por isso a demora em lhe retornar,2
gostaria a camisa branca tamanho m a possavel,1
para,10
aiinda tem camisa de viscose em 40?,4
quero saia preto M,8
ola como vai muito prazer meu nome e ana e trabalho aqui no curadobia nao sei se recordam porem conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluimos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com voces nosso site para darem uma olhada curadobia com br ainda temos a patu em foco o que acham de retomarmos contato aguardo voces,5
"quero um look clássico para formatura, uso GG",9
tem vestido verde tamanho 38?,7
voa,10
acabei de comprar um conjunto se nao servir posso trocar pelo seu cep deve ser perto da minha casa o meu <num> <num>,2
tenho <num> <num> essa calca esta mais curta para mim mesmo te aconselho a comprar um tamanho pequeno,3
nao reconheceu no whats esse numero,8
ola julienne bom dia tudo bem que bom receber sua mensagem eu me chamo ana e sou do time curadobia,0
deixar,10
boa tarde estava previsto pra chegar hoje minha encomenda porem nada foi entregue,2
acessorios,10
pergunta a camisa de responsa marca muito o corpo resposta modelagem e tecido,3
obrigada pelo prestigio,0
posso passar malha canelada? precisa cuuidado especial?,2
ola juliana boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar juliana qualquer daovida estamos a disposia a o equipe curadobia d,5
procuuro vestido midi em bege,1
tem vestido verde tamanho 44?,7
cadê o rastreamento do #6873?,6
tem vestido preto no PP?,11
"sou PP, às vezes pego P; o camisa de viscose segue a tabela certinha?",3
procuro saia plissada em azul marinho,8
quero jaqueta preto GG,1
"prazo pro meu cep 04567-010, chega até 3 dias úteis?",12
qual a marca do tenis,8
tem body preto no P?,3
qualquer coisa seguimos a disposia a o por aqui ok,8
caso na o fique com como funciona a troca,2
vou querer a <num> qual a c sua chave pix,5
que shorts posso usar com blazer linho? quero algo romântico,1
carrinho não abre no celullar,2
boa noite havera reposia a o da saia aonica preta no tamanho <num>,8
"quero um look romântico para happy hoour, uso P",9
"quero um look casual para trabalho, uso P",9
oi renata boa tarde aqui a c a ana acredito que te respondi por whatsapp certo qualquer coisa estou por aqui,8
qualquer coisa seguimos aqui,8
dica de look para trabalho com body canelado azul marinho,8
é viscose? encoolhe? como lavar?,2
quero body verde 44,13
adquiri uma maxi pantalona valeria mansur,1
qual jaqueta combina ccom body canelado em preto?,11
sobre a questao do frete e possivel unificar ele nas blusas da lounge que voce gostou vou te mandar o link das duas,8
mas venho com boas notacias a partir de quarta feira teremos reposia a o dela d <num> se vocaa ainda tiver interesse me avisa pois ai assim que chegarem eu venho exclusivamente te avisaar,8
proporcao,10
yes,10
tem camisa verde tamanho PP?,7
que body posso usar com body canelado? quero algo minimalista,3
o produto e lindo apesar de ter ficando um pouco grande,3
ta chegando,10
oi silvana tudo bem bom dia quem fala com vocaa a c a ana do time curadobia posso confirmar com vocaa se seria essa camisa que te interessou segue,8
"meu pedido #8736 não atualiza, pode ver?",6
tem camisa verde tamanho 36?,7
"tenho 92cm de busto e 118cm de quadril, qual tamanho do blazer linho vc indica?",3
"meu pedido #4111 não atualiza, pode ver?",6
"quero um look casual para trabalho, uso GG",9
tem body preto tamanho GG?,11
tem saia verde tamanho 38?,7
tem jaqueta verde no G?,7
"sou 36, às vezes pego P; o camisa de viscose segue a tabela certinha?",4
tem cupom de desconto primeira compra,5
pergunta a calca cool amassa facil resposta modelagem e tecido,3
queria,10
"meu pedido #4666 não atualiza, pode ver?",6
"muito obrigadda, ajudou",8
maio,10
"meu pedido #3120 não atualiza, pode ver?",6
cozy,10
tem saia verde no 38?,7
procuro saia plissadda em verde,7
oi bia sou erika dos <user> gostaria de saber como voce trabalha em relacao a promocao de produtos meus brincos sao autorais e os fabrico a <num> anos a producao e <num> nacional fabricamos desde a liga do metal ate o banho de ouro <num> k nossos brincos sao todos bordados a mao com um finissimo arame de cobre e depois banhado a ouro espero seu contato obrigada,5
sua roupa jeans e de onde,1
"meu ppedido #5087 não atualiza, pode ver?",6
<num> na o creio,10
pergunta a bolsa anda sozinha precisa passar resposta modelagem e tecido,3
carriinho não abre no celular,2
com certeza nao exatamente por isso que pensamos nesse material que se molda nos pes,3
cadê o rastreamento do #5511?,6
procuro blazer linho em preto,8
oi julia tudo bem essa e da egrey mais antiga estamos a poucos dias de lancar novos modelos de jeans de uma nova marca que entrara no curadobia assim que lancarmos te mandamos aqui,1
tem vestido verde tamanho GG?,7
tem saia verde no PP?,7
carrinhoo não abre no celular,2
"nãão serviu, consigo trocar?",2
pergunta a calca saruel silvia tem forro interno resposta modelagem e tecido,3
linda calca qual e a marca,8
oba,10
tem shortss preto no 46?,4
tem tabela de medidas doo camisa de viscose?,1
me indica um calça verde tamanho G?,7
tem saia verde tamanho 42?,7
essa modelagem é mais enxuta? o vestido midi veste grande?,1
tem saia verde no G?,7
qualquer duvida estamos a disposicao,8
que blazer posso usar com saia plissada? quero algo minimalista,1
chico neto cd mara c mar whatsapp <num> <url>,5
bom dia gil infelizmente nao trabalhamos com cupom para <num> a compra ainda mas estamos a disposicao para sanar qualquer duvida,2
tem jaqueta verde no 36?,7
ola meninas tudo bem comprei a saia preta da d aura em outubro precisei trocar foram rapidissimos mas so hoje eu soube que nao levaram a sacola com a peca a ser trocada ficou este tempo todo na minha portaria como faco,2
temos o vadeo nos nossos stories de hoje com a bia usando ela de uma olhada d,8
look,10
me indica um jaqueta preto tamanho 38?,11
uso 38 na parte de cima; o vestido midi serviria?,4
quero body verde P,13
valor do frete ppro 04567-010?,12
bom,10
nao tem mais numeracao <num>,2
mb <num> gg,3
muito obrigada tenham um bom fim de semana,0
segue o link dele qualquer daovida ou questa o estamos a disposia a o obrigada por nos acompanhar equipe curadobia d,5
dica de look para trabalho com calça alfaiataria off-white,1
tem body preto no G?,3
tem camisa verde tamanho 40?,7
"quero um look street para jantar, uso 46",9
mas pode ficar tranquila que assim que lancarmos a terceira peca que voce gostou vou te mandar por aqui tudo bem nao deixe de garantir suas pecas da lounge a tempo,8
nao estou conseguindo entrar no site para fazer compra,5
prrocuro blazer linho em caramelo,8
porem e interessante frisar que a modelagem da calca e uma cintura no lugar nem cintura baixa e nem cintura alta,3
dica de look para trabalho com saia plissada preto,8
pergunta posso indicar a regata pregas jersey pra alguem resposta extras e institucional,8
obrigada,0
cadê o rastreamento do #5631?,6
teem link? como compro?,5
essa gladiadora qual o numero tem <num>,8
carrinnho não abre no celular,2
agradeco o feedback,0
quero blazer preto P,8
posso pagar no pix/boleto? parcela?,2
tem tabela de medidas do saia plissada?,3
chat,10
caddê o rastreamento do #3736?,6
cadê o rastreamento do #2609?,6
cadê o rastreamento do #6094?,6
fatima te respondemos no whatsapp mas nao recebemos seu retorno esta tudo bem qualquer coisa sigo aqui a disposicao,5
muito estilo,1
tem blazer preto no 36?,4
facilitadora,10
oie bom dia tudo bem obrigada pela sua mensagem entramos em contato com a marca d aura que produz a saia e eles nos informaram que em <num> dias ira o receber novos estoques da nossa saia anica,5
ola caroline tudo bem obrigada pelo seu interesse em trabalhar conosco no momento nao estamos trabalhando com o contrato de novas pessoas no nosso time mas ja salvamos seus dados para futuras oportunidades caso tenha mais alguma duvida estamos a disposicao equipe curadobia,5
tem telefoone/whatsapp de alguém?,5
que shorts posso usar com saia pllissada? quero algo minimalista,1
oi boa tarde ana aqui vocaa conseguiu dar uma olhada na cala a qualquer coisa sigo aqui para o que vocaa precisar viu edited,8
"meu pedido #6499 não atualiza, pode ver?",6
muito obrigada,0
verificamos com a marca responsavel pelo envio a revival o seu pedido sofreu um pequeno atraso que a marca me informou ter lhe comunicado por whatsapp,5
"meu pedido #8646 não atualiza, pode ver?",6
posso pagar no pix/bolleto? parcela?,2
oi cristiane bom dia obrigada pela sua mensagem na verdade todos os nossos pedidos sao enviados o email de confirmacao imediatamente porem realmente identificamos um erro no nosso sistema que os ultimos pedidos nao estao recebendo a confirmacao ja estamos em contato com o nosso tecnico para resolver obrigada por ter nos informado,5
ola boa tarde o <num> e equivalente ao p <num> m e <num> g,8
bacana vamos marcar uma conversa,8
pagamento recuusado toda hora,2
pagamento reccusado toda hora,2
oi ana a marcia fonseca esta em contato com vc ne vamos conversar sim a fernanda tem mto interesse,8
ola bom dia roupas lindas aqui mas na o encontrei muitas opa aues de tamanhos maiores a isso mesmo tenho uma cliente que se enquadraria perfeita nesse estilo mais contempora neo mas a c um tamanho g gg <num> <num> poderiam me sugerir algumas opa aues,1
como uma critica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,5
bom dia pamela tudo bem revisamos aqui o nosso sistema e fizemos testes e tudo parece funcionar bem esperamos que voce tenha uma boa experiencia agora o que aconselhamos tambem e entrar no site pelo google chrome caso voce ainda nao tenha acessado por la vou te encaminhar os links dos produtos que voce nos encaminhou <url> <url> <url> <url> <url>,5
tem tabeela de medidas do body canelado?,3
ola evelyn bom dia tudo bem aqui somos do curadobia voce teria interesse em apresentar a sua marca pensando em participar do curadobia ou seria referente a parceria de divulgacao com a bia,5
ola muitissimo obrigada,0
oi ana tudo bem na a c poca o pessoal da d aura te instruiu que iriam retirar na sua portaria,8
essa modelagem é mais enxuta? o saia plissadda veste grande?,1
que camisa posso usar com bblazer linho? quero algo minimalista,1
posso passar linnho? precisa cuidado especial?,2
checkout travando aquui,5
acho otimo pode ser segunda <num> na parte da tarde estamos com <num> horas de fuso qual horario seria bom pra vc,12
sua camisa a c linda,1
tem teleffone/whatsapp de alguém?,5
camisa,1
perfeito fico no aguardo abraa o,8
sobre a questa o do frete a c possavel unificar ele nas blusas da lounge que vocaa gostouaoi vou te mandar o link das duas,8
qual jaqueta combina com camisa de viscose em vermelho?,1
eu adorei ja usei minha saia hj,8
quadril,3
para adquirir essa peca basta clicar no link da jaqueta e finalizar a compra pelo site <url>,5
quall calça combina com calça alfaiataria em vermelho?,1
"prazo pro meu cep 04012-000, chega até sexta?",12
que blazer posso usar com vestido midi? quero algo street,1
"meu pedido #3837 não atualiza, pode ver?",6
tem vestido bege no P?,8
tem vestido preto tamanho P?,11
pingente,10
gostaria a camisa branca tamanho m e possivel,1
ola luana bom dia tudo bem hoje ainda nao temos sapatos dentro do curadobia estamos olhando para adicionar essa categoria em breve,8
"prazo pro meu cep 04567-010, chega até amanhã?",12
tem link? como comprro?,8
sucesso,10
exagero,10
vocaas tem loja fasica,8
queria ver sua sapateira pq tudo e lindissimo mas seus sapatos sao escolhidos a dedo tudo a ver com vc sempre esse e da laia ne,8
é malha canelada? encolhe? como lavar?,2
adriana shared a product,5
tem saia verde no P?,7
"prazo pro meu cep 05010-020, chega até amanhã?",12
fiz uma compra de um casaco com vcs e na o vestiu bem gostaria de trocar por uma cala a fresquinha tamanho m,1
ola sua curadoria projeto editorial e grafico sao incriveis parabens mas sua plataforma de e commerce nao funciona bem estou desde ontem tentando fazer compras mas paginas nao carregam carrinhos esvaziam muito dificil,5
esperado,10
chheckout travando aqui,8
todas as pea as da mybasic e da lounge <num> possuem uma ampla grade <url> <url> os produtos da cecilia possuem uma modelagem mais ampla <url> alguns dos produtos da nauanin chegam ata c a numeraa a o xxgg equivalendo a um <num> <url>,3
aqui a tabela certinha mas ja estamos com o pessoal tecnico corrigindo esse erro,5
tutu meu filho a c tutu arthur kkkk,8
valor do frete pro 06030-050?,12
consigo falar comm atendente?,2
quero blazer preto G,8
é algodão? encolhe? commo lavar?,2
tem blazer verde no GG?,7
pergunta a saia tech fica justa no quadril resposta tamanho e medidas,3
ops e a blusa pah,8
como falo com alguem dai,8
essa tshirt vai estar no evento namoro tanto ela,8
bia gosto muito das suas bolsas poderia passar umas dicas na o encontrei no seu site a,5
voces tem loja fisica,8
tem jaqueta preto tamanho M?,11
nao tenho nada da paula ferber a numeracao e normal a forma,3
tem vestido preto tamanho G?,11
vcs,10
procuro saia plissada em preto,11
obrigada pelo retorno namoro o modelo gladiador me lembro dele mas quando fui procurar ja nao tinha mais,8
eu amei a que tem a ponta duvida tem que ter tornozelo fino obrigada,8
tem blazer preto no 42?,4
obrigada pela presena a,0
uso G na parte de cima; o body canelado serviria?,3
que maximo marca a gente nos seus looks muito feliz que esta curtindo a selea a o de pea as logo mais teremos muitas novidades bacanas d,8
reagiu com a sua mensagem,0
que body posso usar com vestido midi? quero algo clássico,1
ana ja entrei em contato com o pessoal da d aura para entendermos o que aconteceu,5
"quero um look casual para trabalho, uso 44",9
ola dany boa tarde tudo bem sim e com voce peco desculpas por essa demora estou verificando sobre porque ainda nao foi dada sequencia na troca o processo interno nosso ja foi encaminhado com a troca para o tamanho p,2
