texto,intent_true,intent_pred
entrar em contato com a Luciana nossa gerente comercial no email gerencia@elisaatheniense.com.br,outros,nao_entendi
Bom dia,saudacao,saudacao
"Bia, Tudo bem? Tenho uma festa bem legal e o traje é black and white. Pensei na blusa Pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. Beijos Julie",duvida_tamanho,outros
Muito obrigada pelo retorno!,agradecimento,agradecimento
Eba!,outros,outros
"Oi, Ana! Tudo e você? Beleza, obrigada!",saudacao,saudacao
"Olá! Bom dia! Me chamo Anelisa e gostaria de confirmar se meu pedido foi realizado. Não sei se esse é o canal mais adequado para essa solicitação, mas como não achei no site um campo para falar com vocês, decidi vir aqui. Fiz essa compra ontem pelo site e logo depois de finalizar, apareceu uma mensagem dizendo que o pagamento não estava confirmado. No entanto no site diz que o pagamento foi efetuado e não recebi nenhuma mensagem do banco dizendo que o pagamento foi negado. Além disso também não recebi um e-mail com os dados do pedido. Muito obrigada desde já!",saudacao,formas_pagamento
😍,outros,nao_entendi
Já vi e amei!! Esperando a virada do cartao pra perder os juízo!,preco_pagamento,nao_entendi
Gosto da calça assim mais curta! Visto entre 38-40 (quadril 95),duvida_tamanho,tamanho_modelagem
Bia! Esse seu Curadobia está um arraso! Muito tentador. Parabéns pelo projeto. Uma dúvida: qual a sua altura? Estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 Obrigada,agradecimento,outros
Obrigada!,agradecimento,agradecimento
"Bom dia! Gostaria de adquirir essa calça, mas não está mais disponível. Podem me ajudar? Obrigada",disponibilidade,outros
Já respondi! Sim no wzap,outros,nao_entendi
Reagiu com 👍 à sua mensagem,outros,nao_entendi
"Eu sugiro q vcs verifiquem melhor as parcerias de fornecedores, pois não comprarei mais nesta Curadoria! Infelizmente, gosto mto do trabalho da Bia… mas assim inviabiliza!",outros,outros
Até agora nada!,despedida,nao_entendi
Como proceder p troca?,troca_devolucao,outros
Ficou enorme,duvida_tamanho,outros
P,duvida_tamanho,nao_entendi
Adquiri uma máxi pantalona Valéria mansur,outros,nao_entendi
Oi boa tarde,saudacao,saudacao
😍,outros,nao_entendi
Vamos pensar no q podemos fazer juntas🌺🌺,outros,nao_entendi
❤️❤️❤️❤️❤️,outros,outros
Eu adorei !! Ja usei minha saia hj,outros,nao_entendi
Foi muito legal,outros,nao_entendi
Onde e a loja?,onde_comprar,outros
Vai ter reposição dessa calça?,disponibilidade,outros
Tudo bem também. Que pena 😕 Eu queria exatamente o verde! 😩,outros,nao_entendi
"Boa tarde, pessoal! Tudo bem? Estava namorando um macacão verde no site da marca D-aura, porém não localizei mais 😕. Saiu de coleção? Não terá reposição? Aguardo. Obrigada Milene",disponibilidade,outros
Perfeito,agradecimento,outros
Outra dúvida é sobre o tom certinho dessa jaqueta. No site achei que estava num tom diferente dos stories,outros,nao_entendi
Joia,outros,nao_entendi
"Posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao,outros
"Na verdade eu já assisti ao vídeo do casaco no site Curadobia várias vezes para tentar chegar a essa conclusão, mas não consegui",outros,nao_entendi
Vou olhar,outros,nao_entendi
Não rsrs,outros,nao_entendi
36 ou 38,duvida_tamanho,tamanho_modelagem
Eu costumo usar P ou PP se a confecção é grande,duvida_tamanho,tamanho_modelagem
Porém na dúvida do melhor tamanho,duvida_tamanho,tamanho_modelagem
Estou de olho nessa peça aqui 👇🏻,outros,nao_entendi
Tudo bem e vocês?,outros,outros
"Oi, pessoal. Tudo bem? Estou com dúvida sobre numeração de uma peça de vocês. Aguardo retorno, obrigada! Milene",duvida_tamanho,outros
Perfeito! Fico no aguardo! Abraço,agradecimento,nao_entendi
"Oi pessoal! Tudo bem? Acredito que essa calça tenha esgotado, certo? Vai ter reposição dela? Aguardo retorno! Obrigada, Milene",disponibilidade,outros
Vou seguir.,outros,nao_entendi
Linda gladiadora!,outros,outros
"Queria ver sua sapateira pq tudo é lindíssimo, mas seus sapatos são escolhidos a dedo, tudo a ver com vc sempre… esse é da laiá né?",outros,nao_entendi
😍,outros,nao_entendi
👏,outros,nao_entendi
11-991428141,outros,nao_entendi
Funciona,outros,nao_entendi
stellathomazbastos@gmail.com,outros,nao_entendi
Boa tarde! Tudo ótimo! Segunda à tarde em qualquer horário.,saudacao,saudacao
"Olá, gente! Bom dia! Acabei de ver o post da Bia sobre camisas. Somos uma pequena alfaiataria e camisaria é o core da nossa criação. Gostaria muito de apresentar nosso produto pra vocês. Se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. Abraço, Stella",saudacao,outros
Reagiu com 🖤 à sua mensagem,outros,nao_entendi
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao,saudacao
"Aaaah, perdi! Quando vai ter offline de novo?",outros,outros
"A jaqueta branca. Uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade,outros
Deu certo mas a peça que eu queria acabou…,outros,nao_entendi
Ola! Por favor algum retorno?,saudacao,outros
Obrigada,agradecimento,agradecimento
Obrigada!,agradecimento,agradecimento
Olá! Por favor vcs tem desconto para a primeira compra? Obrigada!,preco_pagamento,formas_pagamento
"Ok, muito obrigada 😊",agradecimento,agradecimento
"Eu quero comprar esses acessórios, como faço?",outros,outros
😍,outros,nao_entendi
Vamos marcar ☺️,outros,nao_entendi
Sim,outros,nao_entendi
Pode ser?,outros,nao_entendi
Aí entro em contato vocês,outros,nao_entendi
Agora estou organizando as coisas,outros,nao_entendi
Em março eu vou produzir reposição e cores novas de tudo,disponibilidade,outros
Tudo bem?,outros,outros
Ei Ana,outros,nao_entendi
Aguardo ansiosa pelos seus pisantes na curadobia,outros,nao_entendi
"Os brincos argola frontal, não sei o nome da peça kkk",outros,nao_entendi
Gostei da corrente dourada também.,outros,nao_entendi
Macacões com mangas,outros,nao_entendi
"Boa tarde, me interessei pelos macacões, com zíper mostrados pela Bia.",saudacao,outros
Comprei a jaqueta 😻,outros,nao_entendi
Chico Neto CD Maré Mar WhatsApp 11965621065 http://palcomp3.com/chiconetodaparaiba/,onde_comprar,nao_entendi
Amando ♥️♥️♥️,outros,nao_entendi
Já comprei 3 peças da curadobia,outros,nao_entendi
Que honra 😍😍😍,outros,outros
Linda essa blusa,outros,outros
"Deu certo, sim. Obrigada",agradecimento,agradecimento
"Perfeito, Ana. Obrigada pelo retorno. 😊",agradecimento,agradecimento
"Olá, td bem? Fiz uma compra com vc e recebi apenas o tricot. Vc pode me ajudar ? Muito obrigada desde já !",saudacao,outros
👏,outros,nao_entendi
"Muito obrigada, elas entraram em contato comigo. Realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento,outros
Chama no mkt@gammba.com,outros,nao_entendi
Oie,saudacao,outros
"Gostei do conjunto, mas não vi no site",outros,nao_entendi
🥰,outros,nao_entendi
Obrigada!,agradecimento,agradecimento
"Oii, Bia! Tudo bem? Por favor, de onde é essa calça? Yes I am? Procurei aqui no feed e não encontrei… obrigada!",saudacao,outros
Legal mto obrigada 💚,agradecimento,outros
Qual a marca do tenis?,outros,nao_entendi
Na torcida ❤️,outros,nao_entendi
"Olá! Onde encontro os sapatos? Este e as gladiadoras, especialmente.",saudacao,outros
11 99635.2663,outros,nao_entendi
Vocês tem loja física?,disponibilidade,outros
Vou olhar aqui meu anti virus.. Pq ele bloqueia o curadobia... Veja:,outros,nao_entendi
Oii O site Curadobia está fora do ar?? Fui visitar através dos link da Bio e não funcionou ... bjs,saudacao,outros
Fiz o processo 2x Será q cobrou 2x?,outros,nao_entendi
"Visto G, qual tamanho seria? Quais cores tem? Tem a calça tb?",duvida_tamanho,tamanho_modelagem
😮,outros,nao_entendi
👏,outros,nao_entendi
👏,outros,nao_entendi
👏,outros,nao_entendi
Lindo o evento! Amei,agradecimento,nao_entendi
"Sim, obrigada",agradecimento,agradecimento
Boa tarde! A jaqueta off da Nauanim voltou?,saudacao,outros
Experimentei essa jaqueta. Maravilhosa,agradecimento,nao_entendi
"Precisei sair correndo por um problema com minha filha, que ja esta bem! Mas nem consegui me despedir! Obrigada queridas pelo convite!!!",agradecimento,outros
"Olá, sou o gerente de vendas da PG Game Platform. Quero falar com você sobre parcerias. Nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de Curaçao em outubro. Você pode se juntar a nós e lhe daremos altas comissões. Entre em contato comigo pelo WhatsApp: +13434802605",onde_comprar,outros
"E eu, como estou na praia, torcendo para não baixar!!!!!🤣🤣🤣",outros,nao_entendi
A calça ficou sobrando muito atrás.,duvida_tamanho,outros
Acabei de comprar um conjunto. Se não servir posso trocar? Pelo seu cep deve ser perto da minha casa. O meu 04531-020,troca_devolucao,outros
"Oieee, obrigada de verdade 💖",saudacao,agradecimento
"Oiii! Tudo bem? Me chamo Caroline sou formada em Marketing e trabalho como Social Media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. Gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. Caso queria marcar uma call para falarmos mais estou por aqui. Cel: (11) 94443-8896 E-mail: cspereiramkt@gmail.com Portfólio: https://cspereira.my.canva.site/ Obrigada desde já 💖",disponibilidade,outros
🖤🖤🖤,outros,nao_entendi
Não estou conseguindo entrar no site para fazer compra,outros,nao_entendi
"Ok, obrigada.",agradecimento,agradecimento
"Não gosto de nada apertado, mas essa blusa tem um Shane mais ajustado. Daí fiquei na dúvida.",disponibilidade,disponibilidade
M,duvida_tamanho,outros
"Bom dia. Estou interessada na blusa PAH, mas estou em dúvida quanto ao tamanho. Minhas medidas: busto 92 cm e cintura 75 cm.",duvida_tamanho,tamanho_modelagem
Ok!! Entendi. Obrigada pelo retorno. Um abraço,agradecimento,agradecimento
"Como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. Compro bastante on-line e sempre vem o e-mail do status do pedido!! O cliente fica mais seguro da compra.",duvida_tamanho,nao_entendi
Olá!! Obrigada. Qual a previsão de entrega?,prazo_entrega,outros
Ok! Obrigada. Vi que foi lançado no meu cartão de crédito.,preco_pagamento,nao_entendi
Boa tarde!! Fiz um pedido de uma blusa Brilhei no dia 13/01. Não recebi nenhum e-mail de confirmação. Será que está tudo certo? Meu nome é Cristiane Rocha Loures Brenner.,saudacao,outros
Sua roupa jeans é de onde?,outros,outros
Ebaaaaa,outros,nao_entendi
Obrigada. No aguardo que seja disponibilizado o envio.,agradecimento,outros
Reagiu com 😢 à sua mensagem,outros,nao_entendi
Boa tarde. Gostaria de saber se vocês enviam para fora do Brasil. Obrigada.,saudacao,nao_entendi
Ahh Reptilia adoro,outros,nao_entendi
Olá! Esse conjunto ainda não está disponvel no site de vcs né ? Poderia me dizer se onde é?,saudacao,outros
Obrigada,agradecimento,agradecimento
Oi! Esse conjunto marrom é vendido também ?,saudacao,outros
😍,outros,nao_entendi
Ok obrigada,agradecimento,agradecimento
Boa noite ! Haverá reposição da saia única preta no tamanho 1 ?,duvida_tamanho,outros
"Não vou trocar , vou tentar reduzir o gancho",troca_devolucao,outros
Tudo bem,outros,outros
"De todo modo , agradeço por perguntar",outros,agradecimento
Mas a experiência de compra não foi legal,outros,nao_entendi
"O produto é lindo , apesar de ter ficando um pouco grande",outros,outros
Por muito pouco a minha frustração seria ainda maior,outros,nao_entendi
Muito tenso,outros,nao_entendi
E o body me chega HOJE,outros,nao_entendi
Paguei Sedex porque estou indo hoje pra Londres e queria levar o body,outros,nao_entendi
"Enfim , por muito pouco não me atende",outros,nao_entendi
Precisei escrever em uma postagem,outros,nao_entendi
No e-mail da nota fiscal não tem nada,disponibilidade,outros
Não tem um link de comunicação no WhatsApp,disponibilidade,outros
E achei muito difícil o contato com vcs,outros,nao_entendi
Então era pra ter pago menos a meu ver,outros,nao_entendi
Mas paguei por uma coisa que não recebi,outros,nao_entendi
Chegou,outros,nao_entendi
???,outros,nao_entendi
Com quem falo B,outros,nao_entendi
Era pra ter chegado ontem,outros,nao_entendi
Mas a peça ainda não chegou,outros,nao_entendi
Comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega,outros
Como falo com alguém daí,outros,nao_entendi
Olá,saudacao,outros
👏,outros,nao_entendi
Muito obrigada pela atenção!,agradecimento,agradecimento
Tá joia.,outros,nao_entendi
Estou vendo pelo celular sim.,outros,nao_entendi
Obrigada,agradecimento,agradecimento
Ok,outros,outros
"Estou com duvidas sobre o tamanho da saia Unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho,tamanho_modelagem
Boa noite.,saudacao,saudacao
É o pedido 502!,outros,nao_entendi
"Tranquilo, obrigada!",agradecimento,agradecimento
"Na verdade foi o porteiro, rs!",outros,nao_entendi
Sim!,outros,nao_entendi
"Olá meninas, tudo bem? Comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). Como faço?",troca_devolucao,disponibilidade
Já comprei! E acabou de chegar!!,outros,nao_entendi
"Deixa eu tirar outra dúvida, vc faz consultoria de imagem/estilo tb? Se sim, como funciona?",outros,nao_entendi
Ah que bom!! É lindíssima!! Parabéns.,outros,outros
Consegue me informar de onde é essa sandália?,outros,outros
"Ola, tudo bem? Meu nome é Gisela, acabei de fazer um pedido.",saudacao,outros
Olá! Como tirar dúvidas de tamanho da peça?,duvida_tamanho,tamanho_modelagem
"Oi, as compras são direto no site?",saudacao,outros
👏,outros,nao_entendi
Obrigada pelo retorno!,agradecimento,agradecimento
"Claro, mando tudo la",outros,nao_entendi
"Oi Bia, tudo bem? Me chamo Alice, sou sócia da Monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. Estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! O que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? Fico no aguardo!",pedido_sugestao,outros
"Ótimo, me avise por favor. Um abraço e obrigada",agradecimento,agradecimento
"Oi Ana boa tarde! Obrigada pelo contato. Sim, estou interessada. Tentei comprar após a mensagem da Bia mas ainda estava indisponível",saudacao,saudacao
"Oi, pessoal, tudo bem? Mariele da Icon aqui. Adoraria apresentar a agência e os talentos que representamos para vocês. Acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! Qual o melhor contato para falarmos disso, por favor? Muito obrigada!",saudacao,outros
"Ola meninas seguem meus contatos: +1(917)868-9790 Daniela.masson@hotmail.com Muito bom falar com vcs ontem, obrigada ! Falamos na sequência por WhatsApp 🌷",onde_comprar,saudacao
Obrigada ! Até lá,agradecimento,agradecimento
Daniela.masson@hotmail.com,outros,nao_entendi
Fechado 3pm brasil !,outros,nao_entendi
"Acho ótimo. Pode ser segunda 29 na parte da tarde. Estamos com 4horas de fuso, qual horário seria bom pra vc?",outros,outros
https://www.instagram.com/queensgatestore?igsh=Mjc0c2g5cHNmN25k&utm_source=qr,onde_comprar,nao_entendi
Feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,outros,outros
"Ola Bia sou a Daniela e gostaria de apresentar minha marca pra vc, a Queens Gate. Minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! A sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. Vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. Moro em Londres e minha sócia em SP e vou deixar meu WhatsApp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 Obrigada ! +1(917)868-9790",disponibilidade,outros
"Olá!! Bom dia!! Sou muito fã da Bia, mas nunca comprei no Curadoria. Uma dúvida: como faço para escolher um tamanho com mais segurança? Tem uma tabela de medidas para servir de referência? Obrigada",duvida_tamanho,tamanho_modelagem
Ok. Obrigada 😊,agradecimento,agradecimento
Qual o endereço???,outros,nao_entendi
😍,outros,nao_entendi
Nossa . Perfeito,agradecimento,outros
Muito estilo,outros,nao_entendi
Vc teria alguma informação sobre a minha encomenda?,outros,outros
Bom dia,saudacao,saudacao
Parece que o contato por aqui não é satisfatório...,outros,nao_entendi
"Vc poderia checar se houve algum problema com os correios de São Paulo, pois nem chegou no correio de Curitiba",outros,nao_entendi
"Boa tarde. Estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao,outros
Obrigada,agradecimento,agradecimento
Por onde posso acompanhar o envio da minha compra?,outros,outros
Como eu poderia rastrear minha compra?,prazo_entrega,outros
Olá,saudacao,outros
🥰,outros,nao_entendi
Eu não recebi email confirmando a compra...,outros,nao_entendi
Compra realizada,outros,nao_entendi
Obrigada Ana!!,agradecimento,outros
Maravilha,outros,nao_entendi
Certo. Qual o link da compra?,outros,outros
Tô de olho faz tempooo,outros,nao_entendi
37?? Não creio,outros,outros
Yes!!,outros,nao_entendi
"Eu quero sim, mas vc poderia me enviar a foto do modelo só pra eu confirmar",outros,nao_entendi
E tem ela preta?,disponibilidade,nao_entendi
Essa gladiadora!! Qual o número? Tem 37??,disponibilidade,outros
"Ainda não , super correria",outros,nao_entendi
Macacão precisa ser mais soltinho,outros,nao_entendi
Obrigada pelo retorno,agradecimento,agradecimento
Vou checar as minhas medidas e volto com Vcs,duvida_tamanho,outros
E quadril ?,duvida_tamanho,outros
"E em outras , 42",duvida_tamanho,tamanho_modelagem
"Pois sou , em algumas marcas , 44",duvida_tamanho,tamanho_modelagem
Teria as medidas do 42,duvida_tamanho,tamanho_modelagem
"Por favor , me interessei por este macacão . Quais tamanhos e como comprar ?",duvida_tamanho,outros
"Bom dia! Sou a Gianina Marques, mineira, mãe e autora de joias artesanais. Gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. Aguardo o retorno de vcs q tem tanto conhecimento na área. Desde já obrigada! @gianinamarques",disponibilidade,outros
Endereço,outros,nao_entendi
Como comprar ?,onde_comprar,outros
Eu amo todos os seus looks! Combina 100% com o meu estilo! Queria ter todas as peças para mim! Pena que moro do outro lado do mundo.,pedido_sugestao,outros
Ai..me Ajuda com o vídeo …. Ainda não usei a blusa!!,outros,outros
Que legal! Vai ajudar muito!,agradecimento,outros
Obrigada,agradecimento,agradecimento
Bom dia! Consegue me mandar o vídeo?,saudacao,saudacao
Já tentei três vezes. Será que pode ser o tamanho?,duvida_tamanho,tamanho_modelagem
"Oie!!! São lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",saudacao,outros
Oie!! Essa calça vai ter reposição na curadoria?,disponibilidade,disponibilidade_estoque
😍,outros,nao_entendi
Reagiu com 👍 à sua mensagem,outros,nao_entendi
"Linda calça, qual é a marca?",outros,outros
👏,outros,nao_entendi
😍,outros,nao_entendi
Falamos por lá,outros,nao_entendi
Ok,outros,outros
Estou tentando contato para devolução de mercadoria e ninguém me atende! Nem por WhatsApp e nem e-mail. Comprei um vestido que quero devolver. Como devo proceder? Cristina Hees 11 970499507,troca_devolucao,outros
Beijos,despedida,nao_entendi
Mas super entendi e aproveito pra agradecer e elogiar seu trabalho,outros,agradecimento
É fato! Perguntei pois está a procurando uma peça e não encontrava,outros,nao_entendi
"Tudo bem Bia Gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",outros,outros
Olá Bia Tudo bem?,saudacao,saudacao
Obaaaa,outros,nao_entendi
PARABÉNS!!! Excelente ideia!!! Vim pelo insta da Glória Kalil 😍 - Torcendo por mais um SUCESSO!,onde_comprar,outros
Uauuu ameiii! Linda saia!,outros,outros
👏,outros,nao_entendi
